Count,Name,Edition,Foil,Price
1,Acidic Soil,Urza's Saga,,3.32
2,Ajani's Welcome,Core Set 2019,,1.35
1,Aphetto Alchemist,Onslaught,,1.88
1,Bala Ged Recovery // Bala Ged Sanctuary,Zendikar Rising,foil,3.97
1,Beacon of Tomorrows,Duel Decks: Mind vs. Might,,3.22
1,Beast Within,Battlebond,,1.71
1,Beck // Call,The List,,1.88
1,Bedlam Reveler,Eldritch Moon,,3.17
1,Blood Speaker,Champions of Kamigawa,,1.49
1,Branchloft Pathway // Boulderloft Pathway,Zendikar Rising,,2.35
1,Chain Lightning,Battlebond,,1.41
1,Chief Engineer,Commander 2016,,1.02
1,Cleansing Nova,Core Set 2019,,1.20
1,Coastal Breach,Commander 2016,,5.68
1,Consuming Aberration,Gatecrash,,1.83
1,Cragcrown Pathway // Timbercrown Pathway,Zendikar Rising,,2.61
1,Crimson Wisps,Shadowmoor,,1.33
1,Destiny Spinner,Theros Beyond Death,,1.26
3,Diabolic Tutor,Magic 2011,,1.03
1,Diregraf Colossus,Shadows over Innistrad,,4.77
1,Distant Melody,Morningtide,,1.33
1,Eidolon of Blossoms,Journey into Nyx,foil,1.63
1,Expansion // Explosion,Guilds of Ravnica,,2.45
1,Exsanguinate,Scars of Mirrodin,,5.79
1,Final Parting,Dominaria,,1.50
1,Forest,Mirrodin,foil,1.01
1,Forsake the Worldly,Amonkhet,foil,1.97
1,Forsake the Worldly,Amonkhet,foil,1.97
1,Freed from the Real,Saviors of Kamigawa,,3.42
1,"Goreclaw, Terror of Qal Sisma",Core Set 2019,,4.10
1,Greater Good,Battlebond,,2.92
1,Grizzly Fate,The List,,1.63
1,Grow from the Ashes,Dominaria,,1.18
2,Guardian of the Guildpact,Dissension,,1.21
1,Hour of Devastation,Hour of Devastation,foil,1.59
2,Hydra's Growth,Theros Beyond Death,,1.40
1,Invisible Stalker,Innistrad,,1.43
1,"Jace, Mirror Mage",Zendikar Rising,,1.76
1,Leyline Tyrant,Zendikar Rising,foil,5.22
2,Lightning Bolt,Magic 2010,,1.59
1,Lightning Bolt,Magic 2011,,1.62
2,Mask of Avacyn,Innistrad,,1.06
1,Memnite,Scars of Mirrodin,,1.15
1,Monastery Swiftspear,Khans of Tarkir,,1.97
1,"Moraug, Fury of Akoum",Zendikar Rising,,7.20
1,Mountain,Battlebond,foil,1.17
1,Nissa of Shadowed Boughs,Zendikar Rising,,4.53
1,Notion Thief,Dragon's Maze,,1.79
1,Ophidian Eye,Time Spiral,,1.28
1,"Padeem, Consul of Innovation",Kaladesh,,2.74
3,Poison-Tip Archer,Core Set 2019,,1.70
1,Prowling Serpopard,Amonkhet,,3.86
3,Psychic Corrosion,Core Set 2019,,3.85
1,"Radha, Heir to Keld",Duel Decks: Mind vs. Might,,1.14
2,Rampant Growth,Duel Decks: Mind vs. Might,,1.28
3,Rat Colony,Dominaria,,1.60
1,Read the Runes,Commander 2016,,1.05
1,Reliquary Tower,Core Set 2019,,2.47
1,Riverglide Pathway // Lavaglide Pathway,Zendikar Rising,,4.03
1,Scourge of the Skyclaves,Zendikar Rising,,10.45
1,"Sea Gate Restoration // Sea Gate, Reborn",Zendikar Rising,,7.37
1,Sea Gate Stormcaller,Zendikar Rising,,3.46
1,Selvala's Stampede,Conspiracy: Take the Crown,,5.27
1,Serum Visions,Fifth Dawn,,1.52
1,Shield of the Oversoul,Shadowmoor,,2.37
1,Sifter of Skulls,Oath of the Gatewatch,,1.47
1,Skyshroud Claim,Battlebond,,1.55
1,Snow-Covered Mountain,Ice Age,,1.43
1,Snow-Covered Swamp,Coldsnap,foil,10.10
1,Snow-Covered Swamp,Coldsnap,foil,10.10
1,Sol Ring,Zendikar Rising Commander,,2.65
1,Song of Freyalise,Dominaria,foil,1.41
1,Soul-Guide Lantern,Theros Beyond Death,,1.59
1,Sprite Dragon,Ikoria: Lair of Behemoths,,1.29
1,Stitcher's Supplier,Core Set 2019,,3.55
2,"Tatyova, Benthic Druid",Dominaria,,2.15
1,Thorn of Amethyst,Lorwyn,,17.27
2,Tragic Arrogance,Magic Origins,,1.02
1,Twinflame,Journey into Nyx,,1.71
1,Uncage the Menagerie,Hour of Devastation,foil,1.88
4,Wayfarer's Bauble,Fifth Dawn,,3.19
1,Willbreaker,Magic Origins,,1.71
1,Worn Powerstone,Duel Decks: Phyrexia vs. the Coalition,,2.71
1,Worn Powerstone,The List,,2.16
